Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,220 pF,C1854
C10,1206,1,4.7uF,C29823
C11,1206,1,10uF,C13585
C12,1206,1,22uF,C12891
C2,805,1,18 pF,C1797
"C3, C4",1206,2,1uF,C1848
C5,805,1,2.4 pF,C502146
"C6, C8",1206,2,100pF,C167435
C7,805,1,100 pF,C1790
C9,1206,1,1000pF,C9196
D1,1206,1,LED,C3646938
L1,805,1,3.9nH,C578020
"L2, L5",805,2,5.6nH,C7427072
L3,805,1,12nH,C964064
L4,805,1,22nH,C139277
R1,1206,1,1.8k,C22108
R2,1206,1,2k,
"R3, R4",1206,2,1k,C4410
R5,1206,1,20k,C25652
U1,QFN-12-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,1,MMZ09332BT1,C2151426
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
