Designator,Mid X,Mid Y,Rotation,Layer
C1,145.17,-88.5,180,top
C10,159.335,-85.69,180,top
C11,123.325,-57,180,top
C12,131.85,-62.525,90,top
C2,159,-89.45,270,top
C3,130.375,-75,180,top
C4,138.85,-62.475,270,top
C5,140.32,-81.3,180,top
C6,130.375,-85.345,0,top
C7,141.62,-84.21,0,top
C8,141.03,-94.03,0,top
C9,159.365,-83.13,180,top
D1,152.76,-82.41,180,top
L1,129.85,-89,0,top
L2,138.85,-73.425,270,top
L3,146.4875,-85.94,0,top
L4,150,-89.3125,90,top
L5,154.7875,-88.5,0,top
R1,133.35,-82.5,180,top
R2,133.35,-78,180,top
R3,153.97,-71.1725,270,top
R4,155.4825,-78.25,0,top
R5,146.9225,-82.39,0,top
U1,138.7875,-88.5,90,top
U2,124,-64,0,top
